,B,V
550,21.615,21.342
551,21.462,20.395
552,21.078,20.505
553,17.992,17.321
554,21.658,20.422
555,18.458,17.815
556,19.17,18.601
557,20.575,19.955
558,21.561,20.477
559,20.673,19.997
560,19.679,19.083
561,20.399,19.776
562,18.993,18.397
563,20.258,19.544
564,19.169,18.629
565,20.03,19.633
566,21.223,20.544
567,19.476,18.908
568,19.098,18.489
569,19.855,19.246
570,19.519,18.927
571,19.622,19.009
572,22.762,21.034
573,20.242,19.57
574,21.785,21.211
575,22.066,21.266
576,19.615,19.106
577,20.613,20.091
578,21.024,20.079
579,21.96,20.926
580,19.855,19.178
581,18.563,18.042
582,18.54,17.854
583,18.864,18.323
584,20.305,19.661
585,22.216,21.407
586,19.56,18.963
587,20.461,19.746
588,19.883,19.136
589,19.771,19.189
590,21.831,20.799
591,18.91,18.367
592,21.093,20.195
593,20.608,19.812
594,21.83,20.866
595,21.997,20.946
596,21.977,21.191
597,21.629,21.013
598,22.727,21.75
599,17.502,17.122
600,19.927,19.373
601,20.091,19.336
602,18.808,18.227
603,16.676,15.085
604,19.462,18.839
605,22.971,21.508
606,22.73,21.765
607,20.607,19.98
608,19.251,18.579
609,21.133,20.265
610,22.616,20.967
611,17.76,16.988
612,18.648,18.045
613,18.845,18.306
614,21.238,20.384
615,20.101,19.448
616,22.121,20.966
617,18.934,18.131
618,19.484,18.924
619,21.624,20.942
620,19.447,18.87
621,19.616,18.955
622,22.634,21.529
623,18.55,18.004
624,22.339,
625,21.435,20.642
626,22.014,20.672
627,19.888,19.252
628,22.064,21.151
629,21.537,20.811
630,21.054,20.281
631,19.342,18.717
632,21.622,20.713
633,21.664,21.129
634,22.324,21.077
635,21.981,21.108
636,22.063,20.972
637,20.8,19.956
638,22.131,21.092
639,21.116,20.347
640,21.86,21.014
641,19.433,18.835
642,20.445,19.798
643,21.072,20.075
644,22.675,20.783
645,20.985,20.225
646,16.431,15.632
647,18.376,17.823
648,22.45,21.682
649,18.709,18.131
650,22.268,21.545
651,20.733,19.976
652,21.398,20.388
653,22.578,20.798
654,21.403,20.524
655,20.98,20.191
656,20.27,19.64
657,21.771,20.905
658,21.943,21.222
659,18.722,18.035
660,17.674,17.009
661,18.856,18.321
662,17.864,16.929
663,21.53,20.868
664,22.575,21.221
665,20.499,19.765
666,21.609,20.581
667,22.212,22.04
668,21.943,20.985
669,19.889,19.281
670,21.45,20.616
671,21.601,20.87
672,19.837,19.16
673,20.194,19.507
674,20.009,19.364
675,19.594,18.949
676,18.712,18.105
677,21.285,20.179
678,20.606,19.917
679,20.678,19.854
680,19.959,19.139
681,21.263,20.83
682,22.328,21.004
683,19.666,19.04
684,19.963,19.389
685,21.141,20.375
686,21.438,20.673
687,15.364,14.491
688,20.125,19.022
689,18.899,18.25
690,19.685,19.104
691,20.676,20.036
692,21.992,21.069
693,20.108,19.491
694,19.939,19.375
695,18.176,17.491
696,20.567,19.927
697,20.906,20.038
698,22.554,20.84
699,20.972,20.288
700,18.982,18.403
701,21.341,20.437
702,19.986,19.439
703,19.922,19.33
704,21.413,20.646
705,20.957,20.103
706,20.719,19.771
707,21.761,20.861
708,18.837,18.288
709,20.972,20.188
710,21.079,20.11
711,21.342,20.748
