RAJ2000,_DEJ2000,n_Seq,Seq,RAJ2000,DEJ2000,pmRA,pmDE,Umag,e_Umag,Bmag,e_Bmag,Vmag,e_Vmag,Icmag,e_Icmag
201.87056281,-47.74937063, ,    66,201.870572,-47.749355,  6.72, 17.10,      ,      ,21.349, 0.080,20.512, 0.050,19.676, 0.095
201.83505525,-47.74936130, ,    67,201.835072,-47.749362, 12.28, -0.70,      ,      ,21.991, 0.074,21.197, 0.195,20.051, 0.384
201.82071953,-47.74936171, ,    68,201.820724,-47.749351,  3.21, 11.60,      ,      ,20.492, 0.106,19.788, 0.032,19.042, 0.090
201.79164446,-47.74936289, ,    69,201.791647,-47.749350,  1.83, 14.10,      ,      ,20.056, 0.059,19.236, 0.044,18.348, 0.036
201.77853016,-47.74938005, ,    70,201.778525,-47.749370, -3.80, 11.00,      ,      ,21.589, 0.147,20.553, 0.065,19.536, 0.107
201.76399928,-47.74934818, ,    71,201.764008,-47.749344,  6.46,  4.69,      ,      ,20.351, 0.093,19.731, 0.079,18.920, 0.073
201.74550899,-47.74935650, ,    72,201.745516,-47.749356,  5.24,  0.43,      ,      ,20.689, 0.122,19.938, 0.041,19.027, 0.074
201.42185694,-47.74887645, ,    73,201.421863,-47.748868,  4.50,  9.19,      ,      ,18.452, 0.011,17.946, 0.015,17.266, 0.035
201.99024525,-47.74912090, ,    75,201.990213,-47.749134,-23.69,-14.21,      ,      ,21.718, 0.134,20.860, 0.107,19.693, 0.196
201.93362231,-47.74926251, ,    76,201.933620,-47.749247, -1.70, 17.03,      ,      ,21.124, 0.055,20.273, 0.054,19.671, 0.472
201.62355173,-47.74917712, ,    77,201.623556,-47.749173,  3.22,  4.45,      ,      ,18.215, 0.024,17.557, 0.021,16.713, 0.012
201.90283280,-47.74919120, ,    78,201.902838,-47.749184,  3.87,  8.00,      ,      ,19.823, 0.029,19.170, 0.035,18.481, 0.096
201.80816413,-47.74925699, ,    79,201.808165,-47.749253,  0.64,  4.30,      ,      ,20.074, 0.027,19.439, 0.032,18.619, 0.055
201.66096614,-47.74917347, ,    80,201.660969,-47.749164,  2.02, 10.48,      ,      ,20.925, 0.160,20.295, 0.112,19.505, 0.149
201.64879425,-47.74916492, ,    81,201.648804,-47.749155,  7.09, 10.86,      ,      ,20.919, 0.051,20.101, 0.067,19.318, 0.237
201.60618183,-47.74913525, ,    82,201.606193,-47.749131,  8.26,  4.53,      ,      ,19.598, 0.027,19.036, 0.038,18.269, 0.111
201.60338336,-47.74911151, ,    83,201.603387,-47.749102,  2.64, 10.47,      ,      ,18.696, 0.017,18.171, 0.017,17.441, 0.037
201.59687596,-47.74911185, ,    84,201.596889,-47.749105,  9.51,  7.49,      ,      ,20.424, 0.036,19.713, 0.033,18.908, 0.154
201.57058561,-47.74903942, ,    85,201.570582,-47.749038, -2.70,  1.49,      ,      ,20.743, 0.076,20.020, 0.117,19.150, 0.075
201.95121326,-47.74908472, ,    86,201.951212,-47.749073, -0.97, 12.76,      ,      ,21.630, 0.043,20.769, 0.103,20.037, 0.583
201.83741546,-47.74914189, ,    87,201.837417,-47.749134,  1.09,  8.75,      ,      ,21.606, 0.086,20.776, 0.115,19.876, 0.324
201.72422767,-47.74916765, ,    88,201.724222,-47.749167, -4.21,  0.77,      ,      ,21.111, 0.072,20.242, 0.058,19.334, 0.090
201.69089792,-47.74911814, ,    89,201.690906,-47.749117,  6.03,  1.31,      ,      ,19.982, 0.038,19.381, 0.055,18.547, 0.045
201.61211494,-47.74902969, ,    90,201.612116,-47.749035,  0.86, -5.81,      ,      ,21.136, 0.040,20.414, 0.161,19.542, 0.192
201.60032403,-47.74903459, ,    91,201.600317,-47.749026, -5.21,  9.28,      ,      ,16.430, 0.008,15.468, 0.011,14.356, 0.009
201.56540255,-47.74896169, ,    92,201.565405,-47.748959,  1.80,  3.07,      ,      ,20.928, 0.072,20.242, 0.023,19.441, 0.091
201.87163892,-47.74906280, ,    93,201.871641,-47.749057,  1.61,  6.41,      ,      ,22.023, 0.198,20.923, 0.133,20.031, 0.235
201.76344092,-47.74912136, ,    94,201.763450,-47.749113,  6.68,  9.09,      ,      ,20.317, 0.045,19.668, 0.049,18.641, 0.063
201.71954027,-47.74906800, ,    95,201.719541,-47.749059,  0.62,  9.97,      ,      ,18.255, 0.011,17.495, 0.011,16.562, 0.012
201.69867418,-47.74909122, ,    96,201.698682,-47.749085,  5.71,  6.81,      ,      ,19.637, 0.066,19.039, 0.036,18.232, 0.041
201.66146552,-47.74903380, ,    97,201.661459,-47.749034, -4.88, -0.10,      ,      ,21.229, 0.162,20.387, 0.058,      ,
201.35522629,-47.74836026, ,    98,201.355232,-47.748353,  4.16,  7.88,      ,      ,20.255, 0.026,19.540, 0.041,18.739, 0.043
201.79802792,-47.74905071, ,   100,201.798030,-47.749047,  1.53,  4.12,      ,      ,21.582, 0.701,20.313, 0.054,19.414, 0.149
201.63973646,-47.74898297, ,   101,201.639741,-47.748980,  3.42,  3.25,      ,      ,18.946, 0.017,18.353, 0.012,17.597, 0.050
201.54373037,-47.74881780, ,   102,201.543743,-47.748816,  9.33,  1.85,      ,      ,20.765, 0.059,20.003, 0.081,19.151, 0.109
201.52019120,-47.74876143, ,   103,201.520212,-47.748772, 15.26,-11.51,      ,      ,21.602, 0.134,20.602, 0.103,19.622, 0.103
201.43959791,-47.74857418, ,   104,201.439596,-47.748565, -1.32, 10.05,      ,      ,20.639, 0.087,19.872, 0.038,19.127, 0.185
201.42281190,-47.74856034, ,   105,201.422823,-47.748552,  8.21,  9.19,      ,      ,19.313, 0.019,18.799, 0.025,18.122, 0.068
201.96746950,-47.74885156, ,   106,201.967465,-47.748852, -3.31, -0.42,      ,      ,21.689, 0.552,20.431, 0.037,19.540, 0.148
201.90049723,-47.74895423, ,   107,201.900507,-47.748949,  7.15,  5.84,      ,      ,20.285, 0.030,19.627, 0.062,18.879, 0.146
201.84029742,-47.74893207, ,   108,201.840305,-47.748928,  5.58,  4.39,      ,      ,21.074, 0.091,20.283, 0.056,19.403, 0.213
201.76525297,-47.74896264, ,   109,201.765260,-47.748950,  5.17, 13.83,      ,      ,20.778, 0.088,20.031, 0.063,19.179, 0.084
201.69462229,-47.74892421, ,   110,201.694637,-47.748925, 10.78, -0.86,      ,      ,21.589, 0.141,20.796, 0.130,19.920, 0.406
201.62759643,-47.74888604, ,   111,201.627590,-47.748874, -4.73, 13.30,      ,      ,20.217, 0.038,19.224, 0.023,18.109, 0.032
201.48950159,-47.74866860, ,   112,201.489514,-47.748660,  9.05,  9.41,      ,      ,19.103, 0.014,18.503, 0.031,17.795, 0.042
201.39299157,-47.74842693, ,   113,201.393001,-47.748417,  7.02, 10.93,      ,      ,21.057, 0.062,20.236, 0.100,19.369, 0.124
201.32359882,-47.74818352, ,   114,201.323599,-47.748184,  0.05, -0.40,      ,      ,20.753, 0.058,19.752, 0.015,18.781, 0.330
201.98894662,-47.74876869, ,   115,201.988938,-47.748755, -6.30, 14.98,      ,      ,18.528, 0.011,17.842, 0.019,17.032, 0.058
201.93815473,-47.74881242, ,   116,201.938154,-47.748807, -0.62,  5.99,      ,      ,20.753, 0.141,20.018, 0.092,19.327, 0.136
201.81648944,-47.74887712, ,   117,201.816491,-47.748872,  1.23,  5.66,      ,      ,21.806, 0.413,20.839, 0.151,19.811, 0.119
201.71853523,-47.74887115, ,   118,201.718537,-47.748864,  1.26,  7.95,      ,      ,21.280, 0.125,20.378, 0.043,19.413, 0.087
201.49817875,-47.74861481, ,   119,201.498190,-47.748610,  8.28,  5.26,      ,      ,21.077, 0.162,20.275, 0.036,19.484, 0.253
201.43701391,-47.74846000, ,   120,201.437019,-47.748449,  3.66, 12.16,      ,      ,20.150, 0.054,19.547, 0.080,18.760, 0.047
201.33127765,-47.74814206, ,   121,201.331267,-47.748133, -7.88,  9.85,      ,      ,22.063, 0.340,20.807, 0.213,19.869, 0.119
202.00519317,-47.74867362, ,   122,202.005197,-47.748674,  2.78, -0.29,      ,      ,22.514, 1.129,20.619, 0.160,19.708, 0.291
201.94708477,-47.74878085, ,   123,201.947088,-47.748774,  2.42,  7.62,      ,      ,19.901, 0.074,19.194, 0.033,18.411, 0.093
201.85618343,-47.74885201, ,   124,201.856188,-47.748847,  3.40,  5.54,      ,      ,19.723, 0.027,19.091, 0.029,18.310, 0.021
